s_capitate_R;Kopfbein rechts
s_capitate_L;Kopfbein links
s_hamate_R;Hakenbein rechts
s_hamate_L;Hakenbein links
s_lunate_R;Mondbein rechts
s_lunate_L;Mondbein links
s_scaphoid_R;Kahnbein rechts
s_scaphoid_L;Kahnbein links
s_trapezium_R;Großes Vieleckbein rechts
s_trapezium_L;Großes Vieleckbein links
s_trapezoid_R;Kleines Vieleckbein rechts
s_trapezoid_L;Kleines Vieleckbein links
s_triquetrum_R;Dreiecksbein rechts
s_triquetrum_L;Dreiecksbein links
s_pisiform_R;Erbsenbein rechts
s_pisiform_L;Erbsenbein links
s_humerus_R;Oberarmknochen rechts
s_humerus_L;Oberarmknochen links
s_radius_R;Speiche rechts
s_radius_L;Speiche links
s_ulna_R;Elle rechts
s_ulna_L;Elle links
s_metacarpal1_R;1. Mittelhandknochen rechts
s_metacarpal1_L;1. Mittelhandknochen links
s_metacarpal2_R;2. Mittelhandknochen rechts
s_metacarpal2_L;2. Mittelhandknochen links
s_metacarpal3_R;3. Mittelhandknochen rechts
s_metacarpal3_L;3. Mittelhandknochen links
s_metacarpal4_R;4. Mittelhandknochen rechts
s_metacarpal4_L;4. Mittelhandknochen links
s_metacarpal5_R;5. Mittelhandknochen rechts
s_metacarpal5_L;5. Mittelhandknochen links
s_proximalPhalanxHand1_R;Daumengrundglied rechts
s_proximalPhalanxHand1_L;Daumengrundglied links
s_proximalPhalanxHand2_R;Grundglied des Zeigefingers rechts
s_proximalPhalanxHand2_L;Grundglied des Zeigefingers links
s_proximalPhalanxHand3_R;Grundglied des Mittelfingers rechts
s_proximalPhalanxHand3_L;Grundglied des Mittelfingers links
s_proximalPhalanxHand4_R;Grundglied des Ringfingers rechts
s_proximalPhalanxHand4_L;Grundglied des Ringfingers links
s_proximalPhalanxHand5_R;Grundglied des kleinen Fingers rechts
s_proximalPhalanxHand5_L;Grundglied des kleinen Fingers links
s_middlePhalanxHand2_R;Mittelglied des Zeigefingers rechts
s_middlePhalanxHand2_L;Mittelglied des Zeigefingers links
s_middlePhalanxHand3_R;Mittelglied des Mittelfingers rechts
s_middlePhalanxHand3_L;Mittelglied des Mittelfingers links
s_middlePhalanxHand4_R;Mittelglied des Ringfingers rechts
s_middlePhalanxHand4_L;Mittelglied des Ringfingers links
s_middlePhalanxHand5_R;Mittelglied des kleinen Fingers rechts
s_middlePhalanxHand5_L;Mittelglied des kleinen Fingers links
s_distalPhalanxHand1_R;Daumenendglied rechts
s_distalPhalanxHand1_L;Daumenendglied links
s_distalPhalanxHand2_R;Endglied des Zeigefingers rechts
s_distalPhalanxHand2_L;Endglied des Zeigefingers links
s_distalPhalanxHand3_R;Endglied des Mittelfingers rechts
s_distalPhalanxHand3_L;Endglied des Mittelfingers links
s_distalPhalanxHand4_R;Endglied des Ringfingers rechts
s_distalPhalanxHand4_L;Endglied des Ringfingers links
s_distalPhalanxHand5_R;Endglied des kleinen Fingers rechts
s_distalPhalanxHand5_L;Endglied des kleinen Fingers links
s_01_thirdMolar;3. Molar
s_02_secondMolar;2. Molar
s_03_firstMolar;1. Molar
s_04_secondBicuspid;2. Prämolar
s_05_firstBicuspid;1. Prämolar
s_06_cuspid;Eckzahn
s_07_lateralIncisor;seitlicher Schneidezahn
s_08_centralIncisor;mittlerer Schneidezahn
s_09_centralIncisor;mittlerer Schneidezahn
s_10_lateralIncisor;seitlicher Schneidezahn
s_11_cuspid;Eckzahn
s_12_firstBicuspid;1. Prämolar
s_13_secondBicuspid;2. Prämolar
s_14_firstMolar;1. Molar
s_15_secondMolar;2. Molar
s_16_thirdMolar;3. Molar
s_17_thirdMolar;3. Molar
s_18_secondMolar;2. Molar
s_19_firstMolar;1. Molar
s_20_secondBicuspid;2. Prämolar
s_21_firstBicuspid;1. Prämolar
s_22_cuspid;Eckzahn
